"id","cca2","name"
"371","US","America/New_York"
"372","US","America/Detroit"
"373","US","America/Kentucky/Louisville"
"374","US","America/Kentucky/Monticello"
"375","US","America/Indiana/Indianapolis"
"376","US","America/Indiana/Vincennes"
"377","US","America/Indiana/Winamac"
"378","US","America/Indiana/Marengo"
"379","US","America/Indiana/Petersburg"
"380","US","America/Indiana/Vevay"
"381","US","America/Chicago"
"382","US","America/Indiana/Tell_City"
"383","US","America/Indiana/Knox"
"384","US","America/Menominee"
"385","US","America/North_Dakota/Center"
"386","US","America/North_Dakota/New_Salem"
"387","US","America/North_Dakota/Beulah"
"388","US","America/Denver"
"389","US","America/Boise"
"390","US","America/Phoenix"
"391","US","America/Los_Angeles"
"392","US","America/Anchorage"
"393","US","America/Juneau"
"394","US","America/Sitka"
"395","US","America/Yakutat"
"396","US","America/Nome"
"397","US","America/Adak"
"398","US","America/Metlakatla"
"399","US","Pacific/Honolulu"
